campaign_id,sent_date,segment,customer_id,channel,delivered,opened,clicked,purchased_7d,revenue
CMP001,2026-02-10,vip,C0005,push,True,True,True,False,0
CMP001,2026-02-10,vip,C0018,push,True,False,False,False,0
CMP001,2026-02-10,vip,C0110,sms,True,False,False,False,0
CMP001,2026-02-10,vip,C0113,kakao,True,True,False,False,0
CMP001,2026-02-10,vip,C0153,email,True,False,False,False,0
CMP001,2026-02-10,vip,C0182,kakao,True,True,False,False,0
CMP001,2026-02-10,vip,C0186,push,True,False,False,False,0
CMP001,2026-02-10,vip,C0190,sms,True,False,False,False,0
CMP001,2026-02-10,vip,C0240,push,True,False,False,False,0
CMP001,2026-02-10,vip,C0249,email,True,False,False,False,0
CMP001,2026-02-10,vip,C0279,email,True,False,False,False,0
CMP001,2026-02-10,vip,C0325,sms,True,False,False,False,0
CMP001,2026-02-10,vip,C0357,email,True,True,False,False,0
CMP001,2026-02-10,vip,C0383,sms,True,False,False,False,0
CMP001,2026-02-10,vip,C0430,email,True,False,False,False,0
CMP001,2026-02-10,vip,C0451,email,True,False,False,False,0
CMP001,2026-02-10,vip,C0577,email,True,True,True,False,0
CMP001,2026-02-10,vip,C0595,email,True,False,False,False,0
CMP002,2026-02-09,regular,C0010,kakao,True,True,False,False,0
CMP002,2026-02-09,regular,C0011,push,True,False,False,False,0
CMP002,2026-02-09,regular,C0061,sms,True,True,True,False,0
CMP002,2026-02-09,regular,C0077,push,True,False,False,False,0
CMP002,2026-02-09,regular,C0093,kakao,True,False,False,False,0
CMP002,2026-02-09,regular,C0103,sms,True,False,False,False,0
CMP002,2026-02-09,regular,C0108,sms,True,False,False,False,0
CMP002,2026-02-09,regular,C0140,kakao,True,True,True,False,0
CMP002,2026-02-09,regular,C0155,kakao,True,True,True,False,0
CMP002,2026-02-09,regular,C0163,push,True,True,False,False,0
CMP002,2026-02-09,regular,C0176,sms,True,False,False,False,0
CMP002,2026-02-09,regular,C0196,sms,True,True,True,False,0
CMP002,2026-02-09,regular,C0205,email,True,False,False,False,0
CMP002,2026-02-09,regular,C0209,email,True,True,False,False,0
CMP002,2026-02-09,regular,C0213,email,True,False,False,False,0
CMP002,2026-02-09,regular,C0217,push,True,False,False,False,0
CMP002,2026-02-09,regular,C0220,kakao,True,True,False,False,0
CMP002,2026-02-09,regular,C0230,sms,True,True,False,False,0
CMP002,2026-02-09,regular,C0259,sms,True,True,False,False,0
CMP002,2026-02-09,regular,C0277,email,True,False,False,False,0
CMP002,2026-02-09,regular,C0281,push,True,False,False,False,0
CMP002,2026-02-09,regular,C0282,sms,True,False,False,False,0
CMP002,2026-02-09,regular,C0294,email,True,False,False,False,0
CMP002,2026-02-09,regular,C0302,sms,True,False,False,False,0
CMP002,2026-02-09,regular,C0351,sms,True,False,False,False,0
CMP002,2026-02-09,regular,C0353,kakao,True,False,False,False,0
CMP002,2026-02-09,regular,C0355,kakao,True,False,False,False,0
CMP002,2026-02-09,regular,C0397,sms,True,False,False,False,0
CMP002,2026-02-09,regular,C0404,email,True,False,False,False,0
CMP002,2026-02-09,regular,C0406,kakao,True,False,False,False,0
CMP002,2026-02-09,regular,C0417,push,True,False,False,False,0
CMP002,2026-02-09,regular,C0443,email,True,True,False,False,0
CMP002,2026-02-09,regular,C0455,email,True,False,False,False,0
CMP002,2026-02-09,regular,C0473,kakao,True,False,False,False,0
CMP002,2026-02-09,regular,C0481,sms,True,False,False,False,0
CMP002,2026-02-09,regular,C0482,kakao,True,False,False,False,0
CMP002,2026-02-09,regular,C0486,kakao,True,True,False,False,0
CMP002,2026-02-09,regular,C0489,kakao,True,False,False,False,0
CMP002,2026-02-09,regular,C0490,sms,True,True,True,False,0
CMP002,2026-02-09,regular,C0494,push,True,False,False,False,0
